covariate,Hazard Ratio,95% CI Lower,95% CI Upper,p-value
weapon_Shotgun,4.727130833955391,2.634960024065139,8.480495232279615,1.89780694490562e-07
zone_Triple_Conn_Side,2.2395375735426604,1.6377872542405936,3.062380984052131,4.4183751843188525e-07
zone_A_Sandwich,2.0719665191413132,1.406420347990121,3.052462418207792,0.00022852828111336246
zone_CT_Side_Triple,1.918453389817955,1.361162461346451,2.7039119233888638,0.00019847958586276238
zone_Before_A_Main,1.831502371204036,1.1819955032162153,2.8379134494155567,0.006763193429961906
zone_B_Apps_Balcony_Corner_x_advantage,1.8201748281774552,1.4424077314529615,2.2968792615896145,4.502254001070834e-07
zone_Bench,1.8040907979619751,1.316661253993811,2.471967332082194,0.00024076205398002617
zone_Stairs_Platform,1.7954728226862053,0.9635756306513071,3.3455834233019854,0.06531209764917073
weapon_Pistol,1.7581482129884547,1.514206079411538,2.0413899936498585,1.3216154351249766e-13
zone_Mid_Window,1.6694506222564485,1.1028880712841338,2.5270609527106034,0.01539431647275574
zone_Reverse_Ticket,1.5615307258291915,1.1462846589576814,2.1272012921518666,0.004720036405577271
weapon_SMG,1.5162474583944252,1.1055970588867505,2.079425172677714,0.009797750314777521
zone_Heaven,1.3657240449922867,0.41481692148982735,4.496446674285043,0.6081869575012352
zone_Cat,1.350520177818123,0.6000469038994959,3.03960363571743,0.4678455846208306
weapon_Rifle,1.3480369118052833,1.1871187642938092,1.530768083402792,4.131930712759126e-06
zone_Under_Balcony,1.314535823976068,0.7276830066161218,2.3746664643881434,0.36472666446481616
zone_Top_Stairs,1.3119318058215963,0.9945815842684335,1.730541858355764,0.054667245125879345
zone_Cubby_A_Ramp,1.298956464362156,0.5214715859720748,3.2356276769384493,0.5743140944535878
zone_Arches_x_advantage,1.2983945905950764,0.7125710951539309,2.3658390360647177,0.3936601860345992
zone_A_Triple,1.2865209499969374,0.940316711744373,1.7601900871362737,0.11520839483552231
zone_A_Tetris_x_advantage,1.2847494771533376,0.7214548041392145,2.287851171793254,0.3947433951765854
active_in_molly,1.2799867706239958,0.6316604033474713,2.593745190121081,0.4933142347142945
flashed,1.266981757065752,1.0694763189997323,1.5009614932276232,0.006204013430708303
zone_A_Tetris,1.2556994799569121,0.419337577677379,3.7601714415805825,0.6840859932958923
total_utility,1.2316190293137175,1.1928782798667277,1.2716179504392813,2.240317846983823e-37
zone_Blue_Door,1.2160454284313502,0.9190304145308011,1.609050647974203,0.17099700427530728
zone_Ticket,1.2007390336400916,0.9474729923643505,1.521704828027971,0.13014070483905335
zone_Outside_A_Main,1.1784275369078965,0.6252400005117134,2.2210534492455203,0.6116547141267413
zone_A_Ropz,1.1526722685778834,0.8452635564499282,1.5718805674395486,0.369310892923819
zone_A_Ropz_x_has_support,1.128081975766425,0.7804993284069845,1.6304548866767397,0.5213348978118177
zone_CT_Bottom_Ramp,1.1218233452618078,0.9011310063590646,1.396564549542241,0.30370362926435684
zone_Connector_Box_Cubby,1.116988783775121,0.8223614331882977,1.5171722465658768,0.47885280977951994
