covariate,Hazard Ratio,95% CI Lower,95% CI Upper,p-value
zone_Triple_Conn_Side,2.039257334211963,1.4872084708951723,2.7962256512929744,9.681532014880229e-06
zone_Mid_Window,2.023281550700782,1.3542487269253995,3.022833362893511,0.000580873526999051
zone_CT_Side_Triple,1.8887602285005463,1.3384921056734402,2.6652493396444425,0.000295473862164843
zone_Before_A_Main,1.82791190099254,1.1828754080497834,2.824694718524014,0.006601816158857246
zone_A_Sandwich,1.7812599466627002,1.2180882590655493,2.604808784561203,0.0029069903812829873
zone_Bench,1.6411841054722827,1.1969967418098233,2.250202673051881,0.002093328495117382
zone_Reverse_Ticket,1.5036138885973314,1.1086649512071425,2.039258771120267,0.008703665573658535
zone_Stairs_Platform,1.4895201558832905,0.8056808884081528,2.75378295141912,0.20378733596312978
zone_Top_Stairs,1.3210102688093925,1.0070144667946161,1.7329126719048178,0.04438441689177044
zone_A_Tetris,1.3135922880751698,0.47022052427540223,3.6696073655005796,0.6027889614672115
zone_A_Triple,1.2913199448891295,0.9619469962757253,1.733470977636384,0.0888052457465433
zone_Under_Balcony,1.2662319666583617,0.7094133179068092,2.260097679189782,0.42456057664973545
zone_Outside_A_Main,1.2339008085063161,0.6533853640761043,2.330188720075467,0.5170173439731207
zone_Blue_Door,1.2234735892677762,0.9248867021705954,1.6184551255010624,0.15766978122643624
zone_A_Ramp_Room,1.222021127088954,0.6897476120430063,2.1650464734898525,0.4920110901549378
zone_Cubby_A_Ramp,1.216463326023399,0.48124931221050427,3.074878209722273,0.6787627264676828
zone_Ticket,1.2086263876379795,0.9685682853605941,1.5081825070815629,0.09348939364079988
zone_A_Ropz,1.187168063372432,0.9196700711561039,1.5324713230253917,0.18780211293590388
zone_Heaven,1.1593797181285588,0.3693229970793563,3.6395278426678557,0.7999808488181902
zone_Cat,1.1131271834538468,0.5054936814720762,2.4511723330261646,0.7901637733844555
zone_CT_Bottom_Ramp,1.0986767027957307,0.8836402002340241,1.366042985534623,0.39710082053655915
zone_A_Firebox,1.0919293730395732,0.5352585415273049,2.227539895588518,0.8089572172199903
zone_Kitchen,1.0764858313204455,0.5091852759649982,2.275835142399776,0.8469961071779304
zone_CT_Spawn,1.054481066014354,0.6937684321985782,1.6027398581094552,0.8038672833263084
zone_Connector_Jungle_Cubby,1.008397105366491,0.7311755168804226,1.390725890891417,0.9593387688158037
zone_CT,0.99488181403428,0.7946615573125024,1.2455488941022255,0.9643010718543896
zone_Connector_Box_Cubby,0.9909896044642615,0.7348988162020479,1.3363205580211912,0.9526835882466232
zone_Bottom_Stairs,0.9893910051460645,0.7310092707917356,1.339100063674605,0.9449355669663302
zone_Market_Door,0.9852324245961327,0.6861672810131912,1.4146447336315258,0.9357551961345996
zone_Trashcan_CT,0.9440016895121599,0.7431486435013878,1.1991398996614706,0.6368371813074301
zone_Connector_Window_Cubby,0.8831436675077916,0.6117757752168931,1.27488332989746,0.507055513733121
zone_Deep_Jungle_Cubby,0.881219248869284,0.6114102587618165,1.270092140996051,0.4977713694999586
zone_A_Entry,0.8808732386673163,0.4108523328334321,1.8886047384689613,0.7444528996002135
zone_Bottom_Connector,0.8459069022563539,0.5913659047556734,1.2100097106216805,0.35953861105177254
zone_Window_Room,0.8438971568424642,0.6350352542069039,1.1214533470527002,0.2420511435582755
zone_Death_Hole_Shelf_Alt,0.8216204470263359,0.4891617917838378,1.3800345209097347,0.45774033491057897
zone_Backsite,0.8202111613329239,0.3579072950188746,1.879666490563222,0.6394868213393734
zone_Under_Mid_Ramp,0.7922916983315603,0.4171374446799647,1.504842452412084,0.476877994731023
zone_Under_Window,0.74944298069034,0.4656138982660587,1.206288694125444,0.23496075223272372
zone_Under_Balcony_B,0.7231083292942965,0.2797728103629662,1.8689652336709113,0.5033993205740407
zone_CT_Cubby,0.7223938364860638,0.3880533985577935,1.344796507214028,0.30506919904658436
zone_B_Short,0.6797023611551564,0.46095829696942353,1.0022496672633705,0.05134048565214476
zone_B_Ladder_Room,0.6744673395138199,0.3431388624637803,1.3257204060320262,0.2533638319244821
zone_Jungle_Cubby,0.6637749879341418,0.45547275514583085,0.9673404822334588,0.03294357823803231
zone_Open_Arches,0.6613118256255224,0.24257280447834148,1.8028951417396393,0.4190095046805036
zone_Market_Counter,0.5936056339957108,0.4067502180341626,0.8662998397750207,0.006848585353104324
zone_Top_Cat_Walk,0.5673680135980537,0.2784471140281025,1.1560775696231942,0.11861812684976909
zone_Connector_Pots_Cubby,0.5384849034277921,0.33409473969334064,0.8679154645948421,0.011033630072722395
zone_CT_Pots,0.533828670267002,0.3490740341412872,0.8163685101931503,0.0037784931548074867
zone_Lower_Mid,0.5197946894012069,0.25577784810878457,1.0563327556606248,0.07052993306504643
zone_Underpass_Close,0.49931233665943026,0.20820339812520913,1.1974483211382012,0.11965853689867763
zone_Bench_Mid,0.45884575548552925,0.24182994680357947,0.8706094100830766,0.017126335093659874
zone_Market_Window,0.4539771756301271,0.24760467814080553,0.832356147471119,0.01067302699451187
zone_Outer_Market_Exit,0.43775661686017764,0.18030285650335043,1.0628276186035215,0.06795168865240678
zone_Connector_Mid_Cubby,0.4222175673297889,0.20975832016678644,0.8498717668035181,0.0157043714822786
zone_Market,0.34778616249288863,0.15136258883316064,0.7991090516749338,0.012835127942844391
zone_B_Apps_Balcony_Corner,0.3264688964767518,0.2335191853111094,0.45641620505292835,5.833276582305334e-11
zone_Arches,0.2862780226871824,0.15905468235665102,0.515263713456191,3.0293525436764288e-05
zone_Market_Cubby,0.26953683010880286,0.20216687129279798,0.3593571108882752,4.097252502222501e-19
zone_Empty_B_Alt,0.2585298038474946,0.21267935139433983,0.31426492059164146,5.200470183076106e-42
zone_Get_Right,0.2323435091183122,0.17328488396682165,0.31153038276406897,1.773995120297923e-22
zone_Market_Exit,0.18484533856344518,0.1440730706918102,0.23715604189296244,3.102645484793067e-40
