covariate,Hazard Ratio,95% CI Lower,95% CI Upper,p-value
zone_Outside_Market_Window,2.0821615790064834,1.0956985066460676,3.9567424932990183,0.02515794454874146
zone_Outer_Market_Exit,1.992449575946416,1.4907336356542131,2.6630212250808105,3.200402822246135e-06
zone_Empty_B_Alt,1.9923488977870345,1.214614273918486,3.268077953429028,0.006333911337652697
zone_Backsite,1.654048723164595,1.2700899906444632,2.1540813633325313,0.00018842695145213396
zone_Market_Exit,1.5901520409775511,1.2330603945183771,2.0506566626144167,0.0003509755588563894
zone_Open_Arches,1.454706699216159,1.0117520736600978,2.0915910486735596,0.043070404606373215
zone_Arches,1.4466181384696,1.1683471736975917,1.7911662609036398,0.0007056354926615723
zone_Bottom_Connector,1.3873712132461116,0.8481950323555248,2.269288088140086,0.19218300755567228
zone_Electrical_Pole,1.3796273120405365,0.7059243246290232,2.6962826661745285,0.3465399831463818
zone_Get_Right,1.335805318245282,0.9140331368694582,1.9522003921693956,0.1347495729084287
weapon_SMG,1.3276365799529433,1.0157947870080704,1.735211590936373,0.0380153459663459
weapon_Pistol,1.3190682204127833,1.1742687041649016,1.4817230195539715,3.0453993895326506e-06
zone_Empty_B,1.3169783790028824,0.8377966664283397,2.070230307975823,0.2328356868933979
zone_Mid_Window,1.260781022353627,0.7530933803577372,2.110719371310865,0.37809924234001113
zone_B_Apps_Second_Section,1.161436496682266,0.8041950881996615,1.6773725127386858,0.4248675660495853
weapon_Rifle,1.1430608926041976,1.0347720984555862,1.262682097972306,0.008461505923919303
zone_Heaven,1.1177504446358015,0.6197381177491893,2.015958064708158,0.7114301701652614
zone_Arches_B,1.0766690205498943,0.7464310556960485,1.5530117228722446,0.6926645520242677
zone_A_Triple,1.060895465401884,0.5884809184297715,1.9125500135389617,0.844142059665397
zone_Market_Cubby,1.004652194099925,0.6515994402838414,1.5489976950718731,0.9832370169861393
zone_B_Apps_First_Section,1.0040839657410177,0.6791535409547367,1.48447228713691,0.9836996825103934
zone_Under_Balcony,0.9995283524949427,0.5784915620434987,1.7270034569080401,0.9986509373590614
has_kit,0.935559097369191,0.8323425391569044,1.0515752631805095,0.26407660927081456
zone_B_Short,0.9317210424314272,0.7694621785331874,1.1281959336381644,0.46880633414254946
armor_norm,0.9235667569618718,0.8745239797576756,0.9753598235252771,0.00428815638455256
zone_B_Default,0.9149908215351313,0.537729417190174,1.556932123721709,0.7432325280200877
zone_B_Pillar_1_Alt,0.8943758248006772,0.48953891410859535,1.634003126073133,0.7165765290990658
has_helmet,0.8707005147105153,0.7776447404576847,0.974891678520147,0.01635420793888998
zone_Cat_Plant,0.8634041396393738,0.5402168431761895,1.3799397737461445,0.5392822810238008
zone_Market,0.8467266621530237,0.7017331494210418,1.0216790256984583,0.0825357033587774
zone_Connector_Box_Cubby,0.845396616332762,0.569052277406784,1.2559398622632818,0.40563539387201253
zone_Window_Room,0.8424513863486423,0.607632842375414,1.1680151052833647,0.30377582004023734
zone_Market_Window,0.8188517665358839,0.6893525182781827,0.9726782709573789,0.022884612721556223
zone_Underpass_Stairs_First,0.8032545683752682,0.4281973799139253,1.5068235628752278,0.494878850073181
zone_Market_Counter,0.7931919815322455,0.6501838461945751,0.9676547998683566,0.022365112685960933
health_norm,0.7849158373354127,0.7424987754124739,0.8297560778570973,1.2970657637411984e-17
zone_CT_Pots,0.7687027081182403,0.45566466755703844,1.2967954189565276,0.3241851314555667
zone_Apps_Entrance,0.7609283711708337,0.5257875965693302,1.101227928978636,0.14742637775723644
zone_Cat,0.7366884406584784,0.559643125366266,0.9697427414026333,0.02932806571492357
zone_Outside_Apps,0.7155092278521706,0.44925302695286545,1.1395659559914828,0.15860728134537783
zone_Top_Cat_Walk,0.7140799326031402,0.492331306275049,1.0357053139774042,0.0758904170591908
zone_Market_Door,0.7004784326036653,0.4693421690963094,1.0454420396267476,0.08143015099972736
weapon_None,0.6906216687680425,0.6122188583347422,0.7790650073558661,1.7368222485808502e-09
zone_CT_Bottom_Ramp,0.6841157792507276,0.4315452875080357,1.084508191764498,0.10633957594442485
zone_Jungle_Cubby,0.6581735351830972,0.47614687244270737,0.9097873523626678,0.011330278620505244
zone_Under_Mid_Ramp,0.6522279285431547,0.408361292381326,1.0417277021800995,0.07363958188166221
zone_Connector_Jungle_Cubby,0.6341925039119387,0.4558561841393965,0.8822960969091632,0.006864822532907044
zone_Under_Window,0.6134270710866414,0.5304517375818223,0.7093817304800367,4.381605276194319e-11
zone_Kitchen,0.5961426381338051,0.44519867601578217,0.7982639305704822,0.0005155543976542882
zone_Blue_Door,0.5948501455066778,0.51070332868464,0.6928615415933906,2.4701629604658245e-11
zone_CT,0.5894786905283068,0.3910026588098811,0.888702720448575,0.01162608055113546
zone_A_Sandwich,0.5479260509810996,0.35835445081573564,0.8377821362629481,0.005487107925166056
