covariate,Coefficient,Hazard Ratio,HR 95% CI Lower,HR 95% CI Upper,p-value,Interpretation
zone_B_Default_x_smoke,1.460272062924029,4.307131179659452,0.6913550064876383,26.833361767412505,0.11769696102384694,Strong risk increase
zone_Empty_B_Alt,0.7762215102714195,2.1732451477779344,1.3236500320168416,3.5681595271402093,0.0021525730222071516,Strong risk increase
zone_Outside_Market_Window,0.7520718642384079,2.1213907001192447,1.115444086167765,4.034535265692884,0.02184359747100822,Strong risk increase
zone_Outer_Market_Exit,0.6736010090155765,1.9612872326262718,1.442576941059777,2.6665112268028577,1.723024823752259e-05,Strong risk increase
zone_A_Sandwich,-0.6529288488134694,0.5205190205176746,0.36398100416365026,0.744379645150002,0.00034705671772040464,Strong protective
zone_B_Short_x_smoke,-0.592288282144191,0.5530602776944665,0.26466870768846146,1.1556926144949604,0.11522280342470481,Strong protective
zone_Blue_Door,-0.5612233285810408,0.5705107147175768,0.4829455737843417,0.6739527045606669,4.073008875440624e-11,Strong protective
zone_CT,-0.557808136608731,0.5724624492075681,0.38169964714330923,0.8585631613897914,0.006988726676664391,Strong protective
zone_Backsite,0.5320595720920145,1.702434987959763,1.3044349908817037,2.2218699348677604,8.999157876088773e-05,Strong risk increase
zone_Connector_Jungle_Cubby,-0.5221476824436226,0.5932450767707604,0.42867273525420213,0.8209986130889473,0.0016342170154058835,Strong protective
