covariate,Hazard Ratio,95% CI Lower,95% CI Upper,p-value
zone_Blue_Door,2.0442957422671126,1.36748175480084,3.0560883662101186,0.0004911247142652524
zone_Stairs_Platform,2.0186700872342014,1.0705637853678893,3.8064326262388857,0.02995613583193386
zone_Cat,1.5879751567985205,0.5020438973892599,5.022798029659371,0.43120444704409766
zone_CT_Bottom_Ramp,1.5732102118930584,1.2658863012728718,1.9551442876946798,4.386933065979599e-05
zone_Underpass_Stairs_First,1.5344588218005695,0.6910711741896609,3.40712210802674,0.2927748885284258
zone_CT_Side_Triple,1.4081037272533634,1.035292364040018,1.9151653924766838,0.029184071997409203
zone_Top_Stairs,1.3727657518247753,0.9351744425535722,2.0151168847571306,0.10571781033132441
zone_Reverse_Ticket,1.342813154241403,0.9239088404046192,1.9516505182633288,0.12231818408815336
weapon_SMG,1.3373893915111859,1.0159693449643705,1.7604964100460978,0.03817866851289873
zone_Trashcan_CT,1.3085444191451612,1.0459072963486167,1.6371321845193592,0.018640447638003863
weapon_Pistol,1.302238238444524,1.1459534188441773,1.4798371397831562,5.153767832879581e-05
zone_Lower_Mid_Alt,1.2946143249320743,0.5042834077386947,3.323580004019881,0.5914227143567251
zone_Connector_Window_Cubby,1.2793143183492275,0.7735700920509327,2.1157037247835975,0.33720936898099285
zone_Triple_Conn_Side,1.2476876761723377,1.0040823950894908,1.5503952114742359,0.04585511035531289
zone_Backsite,1.2453912937167035,0.49644659515155076,3.12420205841454,0.6400330983125879
zone_A_Sandwich,1.2271356585633508,1.0105944316516409,1.4900754223003578,0.03879482537447574
zone_Heaven,1.2025058205932004,0.8642835183957256,1.6730855301332306,0.27378825115836786
zone_Under_Balcony,1.1991684654641739,0.9673374256863829,1.4865598811535201,0.09751819650677966
zone_Market_Door,1.1792386170538909,0.8205429585520071,1.6947360299150442,0.3729158536220095
zone_A_Ropz,1.1565135634995447,0.9645845302170463,1.3866318406096065,0.11629480953686998
zone_Market_Window,1.1552133940048548,0.5370499792942902,2.484904640424412,0.7119736715056617
zone_A_Triple,1.1501032898708798,0.9578648119945204,1.3809230288119072,0.1339633933358069
zone_Ticket,1.1442353085322368,0.7529586785196654,1.7388396981703265,0.5280139832386674
zone_Market_Counter,1.1414080028190463,0.6640866451376263,1.9618106137782179,0.6322000350705441
weapon_Rifle,1.0924064728832679,0.9915911030001742,1.203471772171651,0.07360950537925413
zone_Bench,1.0095938792009211,0.7219197205860911,1.411901866446398,0.9555028044682076
zone_Deep_Jungle_Cubby,0.9715243216954337,0.6869872020508604,1.3739113404559387,0.870214915528335
armor_norm,0.9492214804378653,0.9114486037524263,0.9885597665245796,0.011892124453571937
zone_Cubby_A_Ramp,0.9396698779778576,0.6997378000829148,1.2618719175586826,0.6791093147706209
zone_CT_Pots,0.9112254538578782,0.48674786872091874,1.7058766583620613,0.7713707877916304
zone_Jungle_Cubby,0.9067906778094899,0.6744952339951913,1.2190884263061468,0.5169929548748227
