covariate,Hazard Ratio,95% CI Lower,95% CI Upper,p-value
zone_Blue_Door,2.0429207521666113,1.3546032898357552,3.080994436488509,0.0006549420386722561
zone_Stairs_Platform,1.8913296072413384,1.0210033067331046,3.5035417217926352,0.04276003936365141
zone_CT_Bottom_Ramp,1.6865172766202137,1.3615751051045377,2.0890074397475726,1.6978339521299728e-06
zone_CT_Side_Triple,1.486338526177193,1.089479917236172,2.0277585474021094,0.012393809050522387
zone_Cat,1.4728257427602194,0.4837836444009269,4.483854908372003,0.49546981222383046
zone_Underpass_Stairs_First,1.471951322416419,0.6797897384679858,3.18722183192455,0.32670868152469457
zone_Trashcan_CT,1.431146228630747,1.1448449564169623,1.7890453342557646,0.001645291135964756
zone_Top_Stairs,1.3237829825488374,0.9017003153290121,1.9434410248004408,0.152205647469273
zone_Lower_Mid_Alt,1.323257820459575,0.5126547656425218,3.4155758938724445,0.5626296349276007
zone_Backsite,1.309746620561762,0.5368049386917996,3.195641631490008,0.5532295509391785
zone_Reverse_Ticket,1.2738031196109338,0.8723867018617293,1.859925631681305,0.2101792096873833
zone_Triple_Conn_Side,1.2575469744751229,1.0117856790270578,1.5630033373591996,0.03886874439408369
zone_Market_Door,1.2280426915775084,0.8501032107326201,1.7740067715274932,0.27368699175474576
zone_A_Sandwich,1.21296950471914,0.9994775797667944,1.4720640554257247,0.05062161136427273
zone_Ticket,1.2060352184254477,0.7903076973427077,1.840448920051175,0.3850088680904523
zone_A_Ropz,1.1805735130131116,0.985868278951456,1.413732289987543,0.07104484742966634
zone_A_Triple,1.179526593504534,0.982475075506205,1.4161000309016218,0.07666207845263577
zone_Under_Balcony,1.1452687260894376,0.923937886876244,1.4196197315742392,0.21573681799766126
zone_Heaven,1.1380594449509522,0.8199046613111827,1.5796706145941806,0.43950225118968167
zone_Connector_Window_Cubby,1.1380298254275527,0.6917645459076059,1.872185978920702,0.6107013556171514
zone_Market_Window,1.134920397872642,0.5280713296856748,2.4391483443611337,0.7457698493013969
zone_Market_Counter,1.0960420621993228,0.6353139907222153,1.890888945707799,0.7417090828427024
zone_Deep_Jungle_Cubby,1.0130048220588461,0.7188954800226594,1.4274380602339154,0.9411365881000059
zone_Bench,1.0000563048421294,0.7124210826435905,1.4038223141058133,0.9997403791743943
zone_Jungle_Cubby,0.998436684896557,0.739153840204485,1.3486716289959928,0.991863164136222
zone_Connector_Box_Cubby,0.8927172422916817,0.6598816074393449,1.2077076640723294,0.4617284629970393
zone_CT_Pots,0.8856475660423219,0.4770905436137441,1.6440728531222404,0.7004235073084268
zone_Cubby_A_Ramp,0.8647747019485029,0.6440480406031478,1.1611482963751867,0.33390868194182216
zone_B_Ladder_Room,0.8571078588576297,0.396424745726671,1.8531483960943995,0.6951086040814343
zone_Kitchen,0.8505128466807312,0.31156983538618205,2.321701333739069,0.7519898079617706
zone_Outside_A_Main,0.8234852231911666,0.6693561868849071,1.0131047207767225,0.0662356904955713
zone_Connector_Jungle_Cubby,0.8136559721585652,0.6129795664350617,1.0800295430393194,0.15353497953043638
zone_Lower_Mid,0.8061466204211132,0.24317931673721727,2.6723998666327486,0.7245305878315147
zone_Bottom_Stairs,0.7999114817584106,0.5920329796287082,1.080781646742419,0.14594143646446467
zone_Connector_Pots_Cubby,0.7903925632304384,0.44604299641187667,1.4005833720862078,0.42033417036565257
zone_Under_Window,0.7867819350838124,0.4999173773994961,1.2382562426501726,0.3000242961085837
zone_Underbalcony_Cubby,0.7799822354211606,0.379062830386313,1.6049378593849006,0.4997103138150415
zone_Get_Right,0.7295179466401688,0.24215229297854604,2.1977757382509653,0.5751462259270246
zone_Outside_Apps,0.7236845627593407,0.25373157942757896,2.064068444131764,0.5453285569406779
zone_A_Firebox,0.7070962256264188,0.5506187942911305,0.9080421472696203,0.00661045408707919
zone_A_Tetris,0.6947879425577936,0.5194041437012948,0.9293924412765299,0.014156129443257226
zone_Connector_Mid_Cubby,0.6686003205469788,0.37426450848358933,1.1944129846742442,0.17387562337074194
