covariate,Hazard Ratio,95% CI Lower,95% CI Upper,p-value
zone_Cat,1.6928867466413016,0.8780651834186015,3.26384144488681,0.11601282971280823
zone_Under_Apps_Window,1.4013413186119983,0.9467296952137744,2.074253613441154,0.09172254914930544
zone_Outer_Market_Exit,1.3293690438802206,1.020717307316557,1.7313530809749853,0.03467912965456436
zone_Market,1.3260101365065333,0.9575615100600974,1.8362296976699937,0.0893425035892986
zone_Open_Site_Alt,1.32008727875447,0.8770402700315817,1.9869445943076602,0.18316358773472607
zone_Market_Cubby,1.2883868119526647,0.7021933740232,2.3639365431532933,0.41320452381536554
zone_B_Pillar_3,1.2801814787550454,1.0412308593340776,1.5739685429565504,0.019115769788818328
zone_Window_Room,1.2356415858295757,0.7972558495688574,1.9150817513061862,0.3439150757337004
weapon_Pistol,1.2191719831818588,1.1363188851547565,1.308066198664959,3.410994210018428e-08
zone_Outside_Market_Window,1.141144212575737,0.7577777369048169,1.7184591872730977,0.5273258512975418
zone_Jail_Alt,1.1378812663206337,0.8919412322083287,1.451635746267453,0.2985294425375721
zone_Open_Arches,1.1333866289863268,0.9506308857855331,1.3512765785045129,0.16282524281837985
zone_Dark_Spot,1.1318916503753071,0.9395532553287804,1.3636041394385998,0.1923029113710743
zone_B_Pillar_1_Alt,1.1015866700922934,0.91682212126107,1.3235862918053203,0.3016609109308008
zone_Open_Site,1.0997177796655295,0.7865221041228593,1.5376289980574662,0.5783392449103564
zone_Backsite,1.0938211019016173,0.9134089252698961,1.3098674316235086,0.3295012058374325
weapon_Rifle,1.0847930168968483,1.0294591870270575,1.1431010615452755,0.0023124941135385085
zone_Market_Counter,1.083225399721603,0.7583232203251544,1.547331316188505,0.6603707285864542
zone_Top_Cat_Walk,1.0383248207471623,0.6296979096637733,1.7121200766813522,0.8828267388469087
zone_Cat_Plant,1.0341365768523163,0.8552931815993364,1.2503764587296886,0.7289782267431102
zone_B_Apps_Balcony_Corner,1.027150505091545,0.839515066362975,1.2567233184754507,0.794644251439158
zone_B_Short,1.0267723631108236,0.8361368933541238,1.2608718668292038,0.8009425241752004
zone_Electrical_Pole,1.021195343421816,0.6917521106224375,1.5075341490292742,0.9159473316672974
zone_Empty_B_Alt,1.014963019194094,0.7716110995535596,1.3350636491979149,0.9154309994863579
zone_Van_Tucked,1.0126422375874715,0.7889793143578062,1.2997099957947906,0.9214094087681869
zone_Get_Right_Corner,1.011868590892084,0.7986718799540701,1.2819758287881782,0.9221407826833865
weapon_SMG,1.0047208045566456,0.828406416388265,1.218561173765497,0.9618455068774554
zone_Arches_B,1.0035725834147446,0.8001328749342888,1.2587383442587055,0.9753864055862214
zone_Under_Apps_Window_Alt,1.0014837270863939,0.761284750014787,1.3174697845968584,0.9915453350500996
zone_Market_Window,0.9998090257105848,0.7329128537827904,1.36389760765282,0.9990381875453177
zone_Get_Right,0.9935658465670786,0.86691082324808,1.1387250741268697,0.9260807816462278
zone_Bench_B,0.9905295513964618,0.8307915057713214,1.180980769993261,0.9155420058828214
zone_Bench_Corner_Alt,0.9887061208790802,0.7620026866125552,1.2828560983286852,0.9318842839145192
zone_B_Pillar_2,0.9856796707243102,0.854166334995909,1.1374417059925899,0.8435064729898913
zone_B_Pillar_2_Alt,0.9747514188535454,0.8485921370929375,1.1196666655573089,0.7176368469431893
zone_B_Default,0.9648415491732033,0.8530851873959051,1.0912382828409375,0.5687863523898095
zone_Empty_B,0.9647389027033857,0.698743189198361,1.3319931625481893,0.8273393109118036
zone_Market_Exit,0.9641267641502246,0.7481477439603904,1.2424556845285306,0.7776989836776628
zone_Balcony,0.9474646095308888,0.7815412651614987,1.148613932916287,0.5827330009309943
zone_Under_Window,0.9427367095966795,0.6110022683041415,1.4545813489169825,0.7898573365023305
armor_norm,0.9359192155995903,0.905737728143714,0.9671064270710888,7.500302420554038e-05
zone_B_Pillar_1,0.9330743396255718,0.74511172160415,1.1684525931135854,0.5461473083978916
zone_B_Apps_Second_Section,0.9240344977833918,0.7606548120585745,1.1225062138015565,0.4261182387986192
zone_Jail,0.9226932444254888,0.7044847673841403,1.2084900380027734,0.5589339468216518
zone_Get_Right_Corner_Alt,0.9096433742160185,0.7921542427695745,1.044558021127454,0.17954938542175147
zone_Under_Balcony_B,0.902739496813525,0.7820771086952746,1.0420182230709758,0.16219685528778205
zone_Bottom_Connector,0.8848612800960567,0.5078820136867125,1.5416562585660176,0.6658554438167759
zone_Outside_Apps,0.8429517462220562,0.5940522787892164,1.196136555366939,0.3386303115936217
zone_Top_Underpass_Stairs,0.8420305995859297,0.6520426930105754,1.087375931421627,0.18753876840685724
health_norm,0.8362954790296536,0.8070789273795302,0.866569680509758,6.631750226322244e-23
zone_Arches,0.8318084239557909,0.7172091129302183,0.9647189943487746,0.014896793306249375
has_helmet,0.8099109012252439,0.7551180650337804,0.8686796122327471,3.6585272563764154e-09
zone_Back_Alley,0.8088395304268907,0.5521969428244626,1.1847609706690516,0.27598184770711764
zone_Kitchen,0.7803784109192741,0.6264365356781718,0.9721502970282639,0.02697337525351302
zone_Under_Mid_Ramp,0.765064882118741,0.4891388990710059,1.1966422522580737,0.24064491726813358
zone_Mid_Window,0.7619239751507051,0.5596995949801203,1.0372138002531013,0.0840259096875962
zone_Outer_Alley_Shelf,0.7480716328244204,0.6338560384495796,0.8828679288208895,0.0005953011798455195
weapon_None,0.7427309647684172,0.7036777897488394,0.7839515387045561,3.737549258770122e-27
zone_B_Ladder_Room,0.7407619949573736,0.4828797550864121,1.1363664088071619,0.1693058619448048
zone_Top_Mid,0.7342187406567816,0.48122483239187175,1.120218913999534,0.1517736060438749
zone_Bench_Corner,0.6944241358422445,0.4570569758614054,1.055065136094705,0.08748950836495582
zone_Bench_B_Alt,0.6451959478126337,0.5297301506658247,0.7858299372814964,1.3272202914148665e-05
zone_B_Apps_First_Section,0.6446774036112423,0.5369630830259392,0.7739991218481134,2.5208139766674183e-06
